Country,Year,GDP_pc
NAM,2004,3582.89503259701
NER,2004,393.398781453199
NGA,2004,1824.80269456773
NIC,2004,1555.87425694816
NLD,2004,41663.1477772692
NOR,2004,72090.9862854901
NZL,2004,34372.5891093868
OMN,2004,19534.8601445269
PAK,2004,1146.99632842666
PAN,2004,7468.76593461799
PER,2004,3640.60299869744
PHL,2004,1978.34489133113
PNG,2004,1821.84741071002
POL,2004,8323.38773754587
PRT,2004,19137.8370898949
PRY,2004,4151.34584799423
QAT,2004,59990.23422872
ROU,2004,6008.64048461485
RUS,2004,6856.67822265625
SAU,2004,21545.894988606
SDN,2004,1255.67114257813
SEN,2004,1098.20064546027
SGP,2004,39856.6356222613
SLV,2004,3081.23629665234
SRB,2004,4527.43498659451
SVK,2004,10718.2101858841
SVN,2004,18425.2601213581
SWE,2004,45114.6701230708
TCD,2004,845.518131173419
TGO,2004,678.28759996017
THA,2004,4232.77157261934
TKM,2004,2364.26725156856
TUN,2004,3218.72320748457
TUR,2004,7061.62219794984
TZA,2004,650.516540527344
UGA,2004,585.339489080616
UKR,2004,2042.44494628906
URY,2004,10366.9067382871
USA,2004,51098.5573007417
UZB,2004,1466.6134889113
VEN,2004,3580.85417271298
VNM,2004,1510.94449049599
YEM,2004,2185.78999159086
ZAF,2004,5187.35683424034
ZMB,2004,895.475258534826
ZWE,2004,1165.54447081543
AGO,2005,2843.3966357968
ALB,2005,2712.86983830331
ARE,2005,55363.5661047143
ARG,2005,11099.7509190602
ARM,2005,2240.09273209788
AUS,2005,50972.640519744
AUT,2005,40989.0131778975
AZE,2005,2674.3688564996
BEL,2005,38645.2605193362
BEN,2005,893.91536869992
BFA,2005,499.192797571217
BGD,2005,739.203718353409
BGR,2005,5231.33811895255
BIH,2005,3217.81341615345
BLR,2005,3877.71738911289
BOL,2005,2156.18670325307
BRA,2005,7409.56827992249
BWA,2005,5514.21742664705
CAN,2005,41006.2229523971
CHE,2005,76282.9840696619
CHL,2005,10104.4208391373
CHN,2005,3465.81734409951
CIV,2005,1431.73320203111
CMR,2005,1264.74345218659
COD,2005,351.708486411683
COG,2005,2140.03686200251
COL,2005,4457.27537460443
CRI,2005,8655.33965418585
CUB,2005,5182.35283601732
CZE,2005,15147.7214417611
DEU,2005,36024.0947047021
DNK,2005,52015.1841169021
DOM,2005,4549.24957008857
DZA,2005,4223.60252133943
ECU,2005,4589.32849203452
EGY,2005,2635.70305227819
ESP,2005,26294.447384391
ETH,2005,290.833381425059
FIN,2005,42529.3506920884
FRA,2005,34946.0372494703
GAB,2005,7130.22505771754
GBR,2005,43320.5628684438
GEO,2005,2321.60084285163
GHA,2005,1143.31178934301
GIN,2005,651.359606871604
GRC,2005,21880.5265835801
GTM,2005,3284.80971612832
HKG,2005,32401.3907659685
HND,2005,1975.85647913236
HRV,2005,11522.7905248265
HUN,2005,11272.7345428122
IDN,2005,2155.4478015921
IND,2005,947.732565646672
IRL,2005,50547.2123729763
IRN,2005,4650.35841490708
IRQ,2005,3310.86344473993
ISR,2005,29623.7172812577
ITA,2005,33407.6754716472
JAM,2005,5525.73577833713
JOR,2005,4151.61313015439
JPN,2005,33098.5474664881
KAZ,2005,6787.4115548789
KEN,2005,1223.44738472019
KGZ,2005,820.709519437592
KHM,2005,866.340290123209
KOR,2005,22123.7613066851
KWT,2005,40451.2551656974
LAO,2005,1148.68153852071
LBN,2005,6707.18024635316
LBR,2005,539.665378841936
LBY,2005,12628.896152656
LKA,2005,2268.6880127005
LTU,2005,9692.86853763267
MAR,2005,2342.15478515625
MDA,2005,1919.44550763748
MDG,2005,450.955230911228
MEX,2005,9491.51730225718
MKD,2005,3657.56307699216
MLI,2005,794.373328211361
MMR,2005,522.099544791815
MNG,2005,2060.26168223171
MOZ,2005,391.699758163976
MRT,2005,1418.53202144135
MWI,2005,410.267979592536
MYS,2005,7234.02442689141
NAM,2005,3627.75059772278
NER,2005,407.190931059924
NGA,2005,1889.25175325818
NIC,2005,1601.48770707458
NLD,2005,42411.3453838518
NOR,2005,73524.2549197612
NZL,2005,35126.3341641095
OMN,2005,19629.0451546015
PAK,2005,1201.23359367214
PAN,2005,7935.87134515908
PER,2005,3835.13219279722
PHL,2005,2037.8776605946
PNG,2005,1875.82273480514
POL,2005,8598.57681241557
PRT,2005,19251.71450683
PRY,2005,4193.28086525675
QAT,2005,60416.7101500199
ROU,2005,6328.09022324183
RUS,2005,7323.38525390625
SAU,2005,21838.1915349374
SDN,2005,1290.24438476563
SEN,2005,1119.0505307548
SGP,2005,41798.4880834671
SLV,2005,3163.36118376833
SRB,2005,4809.1384076488
SVK,2005,11412.1593630008
SVN,2005,19102.2776603905
SWE,2005,46189.6828420555
TCD,2005,952.871910097036
TGO,2005,630.248678309054
THA,2005,4372.25730206261
TKM,2005,2622.61796328876
TUN,2005,3301.93817216029
TUR,2005,7623.14640948457
TZA,2005,680.051208496094
UGA,2005,604.404813057618
UKR,2005,2122.6015625
URY,2005,11131.3984890038
USA,2005,52393.4513113092
UZB,2005,1549.04577531643
VEN,2005,3884.70081071301
VNM,2005,1609.96268313651
YEM,2005,2237.63762643152
ZAF,2005,5406.07581377638
ZMB,2005,929.079255855905
ZWE,2005,1088.63148420699
AGO,2006,3065.05576243895
ALB,2006,2894.36032580174
ARE,2006,56629.9761392644
ARG,2006,11870.2791559298
ARM,2006,2551.43546358452
AUS,2006,51682.8925230537
AUT,2006,42120.1557002022
AZE,2006,3556.83212858133
BEL,2006,39371.0858277448
BEN,2006,900.62053578735
BFA,2006,514.113131757062
BGD,2006,779.419570444998
BGR,2006,5629.80127993005
BIH,2006,3419.75887457192
BLR,2006,4291.68647163264
BOL,2006,2221.42722587103
BRA,2006,7622.03919432148
BWA,2006,5865.00026521361
CAN,2006,41663.5123057295
CHE,2006,78893.8078199046
CHL,2006,10611.6144012877
CHN,2006,3883.35412942474
CIV,2006,1437.77453798586
CMR,2006,1277.32990712342
COD,2006,358.454382275579
COG,2006,2226.0233547376
COL,2006,4694.03442939175
CRI,2006,9160.29437453236
CUB,2006,5799.41163668615
CZE,2006,16107.3042502688
DEU,2006,37459.261328042
DNK,2006,53823.1590295482
DOM,2006,4904.71715839398
DZA,2006,4279.61547120827
ECU,2006,4706.98056823816
EGY,2006,2761.62410769792
ESP,2006,26899.0921497113
ETH,2006,313.013896721503
FIN,2006,44069.3958834717
FRA,2006,35645.4162427116
GAB,2006,6724.08148977274
GBR,2006,43944.9985799069
GEO,2006,2554.81253503914
GHA,2006,1185.26570738595
GIN,2006,645.472001923653
GRC,2006,23220.5324419197
GTM,2006,3388.15003339926
HKG,2006,34458.0498746756
HND,2006,2056.53491469231
HRV,2006,12104.0421469867
HUN,2006,11734.4544729813
IDN,2006,2244.0802226202
IND,2006,1008.23275343783
IRL,2006,51656.8194855887
IRN,2006,4778.7934584732
IRQ,2006,3471.98744698568
ISR,2006,30734.9619835354
ITA,2006,33873.0493680093
JAM,2006,5656.66803579988
JOR,2006,4209.86864014361
JPN,2006,33531.518563066
KAZ,2006,7450.39687062615
KEN,2006,1263.54164666211
KGZ,2006,837.138026647346
KHM,2006,947.065220050691
KOR,2006,23162.1860111297
KWT,2006,41137.969927672
LAO,2006,1228.08927619923
LBN,2006,6696.37428200596
LBR,2006,551.377446611852
LBY,2006,13176.7758911904
LKA,2006,2426.34873273046
LTU,2006,10577.2145522871
MAR,2006,2489.99291992188
MDA,2006,2017.17730062908
MDG,2006,461.540337897729
MEX,2006,9813.8280424425
MKD,2006,3866.74650622977
MLI,2006,797.100532884951
MMR,2006,586.085579935448
MNG,2006,2209.74321787628
MOZ,2006,420.526462764726
MRT,2006,1637.04191255803
MWI,2006,417.877689776503
MYS,2006,7469.8106921211
NAM,2006,3834.99894666178
NER,2006,415.852022114801
NGA,2006,1949.15856804565
NIC,2006,1644.37193565251
NLD,2006,43841.1223404104
NOR,2006,74729.7365961068
NZL,2006,35665.3533259784
OMN,2006,20096.3965576134
PAK,2006,1243.94142602543
PAN,2006,8557.98017379308
PER,2006,4091.36268615581
PHL,2006,2110.42044781284
PNG,2006,1915.2349405788
POL,2006,9137.65850849801
PRT,2006,19529.3122100477
PRY,2006,4349.31197066239
QAT,2006,64676.3189868053
ROU,2006,6876.77841417966
RUS,2006,7949.89697265625
SAU,2006,21616.3355772516
SDN,2006,1336.1240234375
SEN,2006,1118.7830430051
SGP,2006,44159.4101820552
SLV,2006,3302.34817354347
SRB,2006,5016.41289322251
SVK,2006,12430.2015488557
SVN,2006,20166.5323431214
SWE,2006,48078.3520110084
TCD,2006,914.210664598894
TGO,2006,629.079905835563
THA,2006,4551.5250018314
TKM,2006,2856.77457038028
TUN,2006,3444.5513526091
TUR,2006,8078.5153787571
TZA,2006,704.502746582031
UGA,2006,650.270540867444
UKR,2006,2298.13232421875
URY,2006,11574.470540231
USA,2006,53335.5896950225
UZB,2006,1643.14645619601
VEN,2006,4199.39766916963
VNM,2006,1699.67620343393
YEM,2006,2234.74266863312
ZAF,2006,5650.9883176549
ZMB,2006,968.563565019492
ZWE,2006,1038.22375658033
AGO,2007,3336.36332465208
ALB,2007,3105.8796756386
ARE,2007,52038.6159567932
ARG,2007,12811.9021206578
ARM,2007,2919.3734936373
AUS,2007,52671.325846724
AUT,2007,43568.8302243941
AZE,2007,4412.20326117932
BEL,2007,40520.0843207009
BEN,2007,926.740113754071
BFA,2007,519.26101218434
BGD,2007,825.508229964537
BGR,2007,6048.74231752797
BIH,2007,3665.08966529499
BLR,2007,4682.20676719042
BOL,2007,2283.4273357151
BRA,2007,8003.2532101272
BWA,2007,6085.6354476126
CAN,2007,42106.8724378248
CHE,2007,81254.1701015272
CHL,2007,11051.3450717678
CHN,2007,4409.75700836878
CIV,2007,1420.1738958245
CMR,2007,1295.73067471287
COD,2007,377.437143095814
COG,2007,2004.10103961966
COL,2007,4947.25260813108
CRI,2007,9779.51149389818
CUB,2007,6215.76603727772
CZE,2007,16892.542854974
DEU,2007,38593.0749910508
DNK,2007,54113.9771471341
DOM,2007,5204.78500652254
DZA,2007,4339.25055772831
ECU,2007,4715.30359842555
EGY,2007,2902.06559804963
ESP,2007,27338.79541774
ETH,2007,338.799064654308
FIN,2007,46213.6898975737
FRA,2007,36322.1685141004
GAB,2007,6908.67399162999
GBR,2007,44882.141312304
GEO,2007,2891.13702331846
GHA,2007,1205.31705804209
GIN,2007,673.698997420626
GRC,2007,23973.6936091313
GTM,2007,3527.7782721364
HKG,2007,36371.6859370268
HND,2007,2134.19540639485
HRV,2007,12717.9875997872
HUN,2007,11791.7074416876
IDN,2007,2355.1528565328
IND,2007,1069.24696813025
IRL,2007,52849.6948429458
IRN,2007,5084.71796043623
IRQ,2007,3565.58054079041
ISR,2007,32103.1628576567
ITA,2007,34159.9109244074
JAM,2007,5710.53878446758
JOR,2007,4287.35229821209
JPN,2007,33990.0360341367
KAZ,2007,8036.87599811505
KEN,2007,1309.91092948216
KGZ,2007,900.02796489729
KHM,2007,1030.23117620792
KOR,2007,24391.7651013448
KWT,2007,41113.8693942735
LAO,2007,1301.08597549864
LBN,2007,7179.34520092306
LBR,2007,574.609394348543
LBY,2007,13712.9602583972
LKA,2007,2573.54362192705
LTU,2007,11889.3545234657
MAR,2007,2540.615234375
MDA,2007,2082.51260097669
MDG,2007,473.785462328449
MEX,2007,9877.69532644737
MKD,2007,4140.63354809364
MLI,2007,784.893915016638
MMR,2007,651.729730899198
MNG,2007,2403.72416258662
MOZ,2007,442.049574057751
MRT,2007,1563.60628765192
MWI,2007,445.254305419586
MYS,2007,7769.59693350488
NAM,2007,3987.61796106565
NER,2007,413.419126261066
NGA,2007,2020.83316299454
NIC,2007,1703.20780299405
NLD,2007,45445.522872349
NOR,2007,76115.7066768285
NZL,2007,36414.3173040299
OMN,2007,20642.7489563377
PAK,2007,1265.35567539842
PAN,2007,9507.64640169959
PER,2007,4407.79121686416
PHL,2007,2209.34651083329
PNG,2007,2000.9726186689
POL,2007,9760.7042604352
PRT,2007,19979.5706280792
PRY,2007,4540.38235899258
QAT,2007,61423.0131050382
ROU,2007,7483.97375820611
RUS,2007,8640.40625
SAU,2007,21196.7926036633
SDN,2007,1372.10961914063
SEN,2007,1123.99862153285
SGP,2007,46178.8139470199
SLV,2007,3359.1623024135
SRB,2007,5431.27887426624
SVK,2007,13770.9602691527
SVN,2007,21485.780992381
SWE,2007,49262.152916545
TCD,2007,920.352815674967
TGO,2007,603.83784338967
THA,2007,4760.66708464831
TKM,2007,3114.06330033038
TUN,2007,3642.11977444786
TUR,2007,8477.53328393352
TZA,2007,731.52001953125
UGA,2007,684.542241787248
UKR,2007,2498.35205078125
URY,2007,12310.482735502
USA,2007,53889.3964951775
UZB,2007,1773.75803693248
VEN,2007,4496.84905010777
VNM,2007,1788.9485028957
YEM,2007,2235.75075901067
ZAF,2007,5891.42069421698
ZMB,2007,1013.08567432637
ZWE,2007,987.200362596937
AGO,2008,3559.19522512236
ALB,2008,3345.98161761476
ARE,2008,47922.6988207823
ARG,2008,13197.3570267029
ARM,2008,3141.33193500774
AUS,2008,53497.275355342
AUT,2008,44063.8642019916
AZE,2008,4778.12452736673
BEL,2008,40380.9075004042
BEN,2008,943.203380303862
BFA,2008,533.471299938288
BGD,2008,866.45815762135
BGR,2008,6464.72198023576
BIH,2008,3929.03297717336
BLR,2008,5177.64534775676
BOL,2008,2383.2503257823
BRA,2008,8330.76364001877
BWA,2008,6158.61629368051
CAN,2008,42067.5687072607
CHE,2008,82481.0680560935
CHL,2008,11356.0922105983
CHN,2008,4811.47471804961
CIV,2008,1454.62731800082
CMR,2008,1295.02211276052
COD,2008,393.331182464822
COG,2008,2061.55829880574
COL,2008,5048.57187245249
CRI,2008,10104.9092039691
CUB,2008,6469.08507847668
CZE,2008,17190.6470333289
DEU,2008,39009.8477636357
DNK,2008,53572.5346568185
DOM,2008,5308.92664966814
DZA,2008,4367.56538017541
ECU,2008,4939.90215021789
EGY,2008,3052.21297844721
ESP,2008,27112.526293889
ETH,2008,364.642208155735
FIN,2008,46359.8732844055
FRA,2008,36257.3658930938
GAB,2008,6468.38523357609
GBR,2008,44508.2874631479
GEO,2008,2970.15858282428
GHA,2008,1282.63416886747
GIN,2008,684.775780377366
GRC,2008,23923.8800731311
GTM,2008,3569.92861121538
HKG,2008,36924.0883854556
HND,2008,2175.14709403064
HRV,2008,12970.4376964616
HUN,2008,11929.7209867703
IDN,2008,2464.60193418272
IND,2008,1086.50605251513
IRL,2008,49461.1594281353
IRN,2008,5035.94008533618
IRQ,2008,3781.78001712762
ISR,2008,32554.0413211945
ITA,2008,33550.6340800063
JAM,2008,5639.58974873397
JOR,2008,4489.95545537311
JPN,2008,33557.6454041595
KAZ,2008,8216.52181589585
KEN,2008,1273.77226103073
KGZ,2008,966.409971184817
KHM,2008,1090.57475806147
KOR,2008,24934.5396367691
KWT,2008,39852.5129115699
LAO,2008,1381.73754223953
LBN,2008,7701.29823027979
LBR,2008,591.185378141907
LBY,2008,13403.0004645911
LKA,2008,2708.58594222506
LTU,2008,12324.5197331387
MAR,2008,2648.58569335938
MDA,2008,2249.22589719372
MDG,2008,490.963935389518
MEX,2008,9826.3421836048
MKD,2008,4392.5507164151
MLI,2008,787.156518987615
MMR,2008,714.620419027129
MNG,2008,2576.71295838607
MOZ,2008,460.94729485679
MRT,2008,1514.2655013629
MWI,2008,465.55147298007
MYS,2008,7976.11785374773
NAM,2008,4036.38187484707
NER,2008,429.195542798877
NGA,2008,2098.28339220668
NIC,2008,1736.65740610408
NLD,2008,46227.211156219
NOR,2008,75535.2118003041
NZL,2008,35739.3584607571
OMN,2008,22007.7338963517
PAK,2008,1258.05188934452
PAN,2008,10288.1549774225
PER,2008,4778.52642172313
PHL,2008,2264.9462907288
PNG,2008,1934.03201558753
POL,2008,10187.2017910883
PRT,2008,20014.4749330004
PRY,2008,4788.66318778074
QAT,2008,61213.7206556875
ROU,2008,8318.00342795388
RUS,2008,9093.7001953125
SAU,2008,21629.8405734551
SDN,2008,1381.62561035156
SEN,2008,1138.66883930214
SGP,2008,44601.5799302699
SLV,2008,3420.44927357444
SRB,2008,5735.94772695749
SVK,2008,14497.1114407172
SVN,2008,22175.2369557321
SWE,2008,48428.6587081751
TCD,2008,916.087274632505
TGO,2008,610.405413708475
THA,2008,4805.76393990836
TKM,2008,3504.34843278483
TUN,2008,3760.11828478704
TUR,2008,8447.93976396947
TZA,2008,752.540466308594
UGA,2008,722.565167003452
UKR,2008,2567.69409179688
URY,2008,13165.83628166
USA,2008,53442.7136899777
UZB,2008,1904.45855506712
VEN,2008,4665.9531880382
